"","threshold","method","testing_population","mean_FDR","mean_FPR","mean_FNR","mean_true_positive","mean_false_positive","mean_true_negative","mean_false_negative","plot_legend","overlap_percentage"
"39",2.20408163265306,"LS.YRI","YRI",0.202805699288671,0.0053,0.9789,42.2,10.6,1989.4,1957.8,"LS(Y2Y)",100
"40",2.36734693877551,"LS.YRI","YRI",0.200760117031469,0.00325,0.98685,26.3,6.5,1993.5,1973.7,"LS(Y2Y)",100
"41",2.53061224489796,"LS.YRI","YRI",0.170692640692641,0.00155,0.99175,16.5,3.1,1996.9,1983.5,"LS(Y2Y)",100
"42",2.69387755102041,"LS.YRI","YRI",0.181858974358974,0.00105,0.99485,10.3,2.1,1997.9,1989.7,"LS(Y2Y)",100
"43",2.85714285714286,"LS.YRI","YRI",0.177301587301587,0.00055,0.99695,6.1,1.1,1998.9,1993.9,"LS(Y2Y)",100
"44",3.02040816326531,"LS.YRI","YRI",0.199285714285714,4e-04,0.99815,3.7,0.8,1999.2,1996.3,"LS(Y2Y)",100
"45",3.18367346938775,"LS.YRI","YRI",NA,2e-04,0.99895,2.1,0.4,1999.6,1997.9,"LS(Y2Y)",100
"46",3.3469387755102,"LS.YRI","YRI",NA,5e-05,0.99945,1.1,0.1,1999.9,1998.9,"LS(Y2Y)",100
"47",3.51020408163265,"LS.YRI","YRI",NA,0,0.99975,0.5,0,2000,1999.5,"LS(Y2Y)",100
"48",3.6734693877551,"LS.YRI","YRI",NA,0,0.9999,0.2,0,2000,1999.8,"LS(Y2Y)",100
"49",3.83673469387755,"LS.YRI","YRI",NA,0,0.99995,0.1,0,2000,1999.9,"LS(Y2Y)",100
"50",4,"LS.YRI","YRI",NA,0,0.99995,0.1,0,2000,1999.9,"LS(Y2Y)",100
"51",-4,"LS.CEU","YRI",0.499987496874219,0.99995,0,2000,1999.9,0.1,0,"LS(C2Y)",100
"52",-3.83673469387755,"LS.CEU","YRI",0.499987496874219,0.99995,0,2000,1999.9,0.1,0,"LS(C2Y)",100
"53",-3.6734693877551,"LS.CEU","YRI",0.499987496874219,0.99995,0,2000,1999.9,0.1,0,"LS(C2Y)",100
"54",-3.51020408163265,"LS.CEU","YRI",0.499912465610149,0.99965,0,2000,1999.3,0.7,0,"LS(C2Y)",100
